method,#entities,#packages,time_maintain_packages,time_ask_next_question,time_process_response,time_total
aqs,5,10,0.0014476820069830865,0.002242300004581921,4.0426,4.046289982011565
aqs,10,45,0.030185147988959216,0.10019106899562757,7.5143,7.644676216984587
aqs,15,105,0.07963450695388019,33.13267770601669,20.9702,54.18251221297057
aqs,20,190,0.17122477501106914,62.40206209997996,21.696199999999997,84.26948687499103
aqs,25,300,0.3330981039907783,118.28406400699168,26.458699999999993,145.07586211098246
