method,#entities,#packages,time_maintain_packages,time_ask_next_question,time_process_response,time_total
aqs,5,10,0.0011336769966874272,0.02081468899268657,6.404599999999999,6.426548365989373
aqs,10,45,0.006615194011828862,1.0084697179845534,12.093399999999999,13.108484911996381
aqs,15,105,0.024208203016314656,4.941383400990162,10.857099999999999,15.822691604006476
aqs,20,190,0.06165000602777582,26.04730422902503,23.9592,50.0681542350528
aqs,25,300,0.15348875502240844,45.09288616599224,19.014099999999992,64.26047492101463
